GENES,TS_0_0,TS_4_0,TS_6_0,TS_3_0,TS_7_0,TS_2_0,TS_8_0,TS_1_0,TS_9_0,TS_5_0,TS_1_1,TS_8_1,TS_2_1,TS_0_1,TS_4_1,TS_6_1,TS_9_1,TS_5_1,TS_7_1,TS_3_1,TS_2_2,TS_7_2,TS_1_2,TS_0_2,TS_3_2,TS_5_2,TS_9_2,TS_4_2,TS_6_2,TS_8_2,TS_0_3,TS_4_3,TS_3_3,TS_7_3,TS_6_3,TS_8_3,TS_2_3,TS_5_3,TS_9_3,TS_1_3,TS_8_4,TS_0_4,TS_4_4,TS_1_4,TS_5_4,TS_2_4,TS_7_4,TS_3_4,TS_9_4,TS_6_4,TS_3_5,TS_9_5,TS_6_5,TS_4_5,TS_7_5,TS_8_5,TS_1_5,TS_5_5,TS_2_5,TS_0_5,TS_1_6,TS_4_6,TS_9_6,TS_8_6,TS_2_6,TS_0_6,TS_5_6,TS_6_6,TS_7_6,TS_3_6,TS_9_7,TS_6_7,TS_7_7,TS_3_7,TS_5_7,TS_0_7,TS_2_7,TS_4_7,TS_1_7,TS_8_7,TS_5_8,TS_4_8,TS_9_8,TS_6_8,TS_0_8,TS_3_8,TS_1_8,TS_7_8,TS_2_8,TS_8_8,TS_5_9,TS_9_9,TS_8_9,TS_1_9,TS_4_9,TS_7_9,TS_0_9,TS_6_9,TS_3_9,TS_2_9,TS_5_10,TS_6_10,TS_8_10,TS_7_10,TS_9_10,TS_0_10,TS_1_10,TS_2_10,TS_3_10,TS_4_10,TS_1_11,TS_2_11,TS_9_11,TS_3_11,TS_5_11,TS_6_11,TS_4_11,TS_7_11,TS_0_11,TS_8_11,TS_6_12,TS_1_12,TS_9_12,TS_3_12,TS_7_12,TS_8_12,TS_2_12,TS_0_12,TS_4_12,TS_5_12,TS_8_13,TS_4_13,TS_7_13,TS_9_13,TS_6_13,TS_0_13,TS_2_13,TS_5_13,TS_3_13,TS_1_13,TS_0_14,TS_2_14,TS_8_14,TS_4_14,TS_3_14,TS_7_14,TS_1_14,TS_9_14,TS_5_14,TS_6_14,TS_0_15,TS_1_15,TS_8_15,TS_7_15,TS_4_15,TS_2_15,TS_6_15,TS_5_15,TS_3_15,TS_9_15,TS_8_16,TS_9_16,TS_0_16,TS_7_16,TS_4_16,TS_3_16,TS_5_16,TS_2_16,TS_1_16,TS_6_16,TS_3_17,TS_8_17,TS_0_17,TS_6_17,TS_7_17,TS_4_17,TS_2_17,TS_9_17,TS_1_17,TS_5_17,TS_0_18,TS_8_18,TS_4_18,TS_9_18,TS_3_18,TS_1_18,TS_7_18,TS_6_18,TS_2_18,TS_5_18,TS_5_19,TS_0_19,TS_8_19,TS_9_19,TS_2_19,TS_7_19,TS_3_19,TS_6_19,TS_1_19,TS_4_19,TS_4_20,TS_7_20,TS_6_20,TS_5_20,TS_3_20,TS_2_20,TS_1_20,TS_0_20,TS_8_20,TS_9_20
G21,0.0318636,0.0366889,0.0608011,0.0274288,0.0430631,0.0333049,0.0846411,0.0318047,0.0861076,0.0484416,0.0052093,0.0130516,0.0111167,0.0744562,0.0359827,0.0540409,0.0150188,0.016936,0.0284524,0.0936394,0.0237448,0.0236092,0.004914,0.0308328,0.0457558,0.0013385,0.0034362,0.0469612,0.0261871,0.0382245,0.0269719,0.0397849,0.030791,0.0146231,0.0310378,0.0355604,0.0173056,0.0105193,0.0027108,0.0012675,0.033947,0.0321463,0.0215823,0.0030739,0.0026643,0.0168335,0.0354488,0.0331872,0.0007187,0.0234682,0.0520682,0.0,0.044291,0.0168391,0.0387793,0.0277275,0.0016298,0.0002673,0.0488716,0.0239699,0.0001231,0.0243671,0.0001511,0.0348857,0.0346726,0.0271719,3.88e-05,0.0694134,0.0375529,0.0446118,2.01e-05,0.0505005,0.0465503,0.0302329,0.0002573,0.0328338,0.0286285,0.0397555,0.002577,0.0297815,0.0009252,0.0322801,0.0037491,0.0182803,0.0606236,0.0439524,0.0010455,0.0364129,0.0257045,0.0177366,0.0001388,0.002695,0.0432022,2.23e-05,0.0434651,0.0438105,0.0382006,0.0359201,0.0170232,0.0249478,0.0001565,0.0237368,0.0602713,0.0695723,0.0012885,0.0220286,2.66e-05,0.0455746,0.0452208,0.0146729,0.0180679,0.0178178,0.025682,0.0392974,0.0064973,0.0516143,0.0347488,0.0481876,0.0463095,0.0385962,0.0467013,0.0444877,0.0512097,0.0899522,0.0314868,0.041929,0.0686791,0.0274726,0.0497572,0.027716,0.0486647,0.034464,0.0298861,0.0834146,0.0212915,0.0210891,0.0270482,0.036197,0.0218776,0.0216049,0.0339816,0.0395636,0.0136021,0.0353159,0.0152833,0.0663516,0.0545833,0.0260118,0.0223244,0.0438745,0.0297591,0.0447521,0.0160366,0.0332558,0.0423102,0.0457244,0.0171981,0.0383793,0.0619868,0.0426085,0.0348815,0.0310612,0.029635,0.0247391,0.0263176,0.0571134,0.04919,0.0428111,0.062936,0.0375485,0.0664283,0.0393241,0.0299769,0.0238009,0.0435056,0.0314891,0.0385829,0.032852,0.0406225,0.047343,0.0165333,0.021796,0.0198365,0.0675452,0.0382556,0.0273741,0.0716367,0.0190547,0.0396863,0.0350246,0.0485876,0.050762,0.0601855,0.0370653,0.0305378,0.0208093,0.0331268,0.0825149,0.0293924,0.0199859,0.0520742,0.0457116,0.0601566,0.0189233,0.0721639,0.0329644,0.0430392,0.0286799,0.029329,0.0328287
G22,0.6404388,0.6402391,0.7283149,0.7145138,0.7943356,0.7451901,0.6703686,0.6819477,0.7493247,0.731971,0.5914,0.7816734,0.6623499,0.820513,0.7171559,0.6984896,0.7666243,0.7736195,0.7868246,0.6595568,0.6369997,0.6761676,0.6149371,0.6309168,0.5538806,0.7569298,0.6247039,0.6958582,0.6089647,0.7111839,0.7614865,0.7918394,0.6953685,0.6768797,0.6819044,0.7126297,0.6427748,0.8090973,0.7685555,0.7202778,0.7112645,0.6180115,0.662271,0.6823429,0.5825127,0.7744985,0.6857499,0.584037,0.6459498,0.6635845,0.5124329,0.6556577,0.7412814,0.7303837,0.713218,0.5880181,0.6444444,0.763619,0.600147,0.7697856,0.6631168,0.6765753,0.7506885,0.6771758,0.6537613,0.7407302,0.7344711,0.5734516,0.6604997,0.6285705,0.7073036,0.6109052,0.682323,0.6151909,0.638081,0.7572397,0.7110749,0.8492931,0.6927661,0.6482058,0.5737184,0.722921,0.6210581,0.822619,0.6470015,0.5901626,0.6917998,0.6257591,0.7473245,0.733449,0.8379537,0.7462419,0.6265935,0.6489708,0.6052977,0.643616,0.7594799,0.6398029,0.5581072,0.5446502,0.7173177,0.678742,0.7459133,0.7590825,0.6978891,0.8200216,0.7368767,0.7443948,0.6172674,0.6353374,0.797457,0.6434695,0.6625568,0.8101134,0.7352541,0.8009112,0.6096849,0.6725723,0.7090956,0.7277627,0.6790158,0.6699719,0.705883,0.6810418,0.7517976,0.7174278,0.5462845,0.6619141,0.6770659,0.7415621,0.8068493,0.6010045,0.5970593,0.7294383,0.6832309,0.7005428,0.6699922,0.6433828,0.5510781,0.6944177,0.6864593,0.6232231,0.7480353,0.7331365,0.7294229,0.6419959,0.6132983,0.5476195,0.6676055,0.7335971,0.656356,0.6250877,0.7075735,0.715667,0.6672422,0.7440923,0.7804866,0.7445594,0.7479341,0.6783213,0.6781954,0.5744309,0.7777248,0.7051661,0.6337882,0.6469713,0.640738,0.7227889,0.7535601,0.5987587,0.7237433,0.7616117,0.6937927,0.6175306,0.6498045,0.7308209,0.9366349,0.678553,0.6159606,0.6840856,0.7135011,0.7215379,0.7816167,0.707211,0.6705067,0.6629968,0.6369652,0.6349868,0.60734,0.7051404,0.7614393,0.6398748,0.7352196,0.6608504,0.6491903,0.7413286,0.7444011,0.6796718,0.7466256,0.5737813,0.6633684,0.6811714,0.6740739,0.7182447,0.7215014,0.7820572,0.73119,0.8018723,0.6991476,0.6630165
G23,0.5838331,0.6622331,0.6488132,0.6659338,0.5663148,0.5367131,0.7370988,0.6957358,0.6223569,0.5558235,0.6509265,0.6371324,0.6705773,0.7218336,0.6468163,0.5636074,0.6129572,0.3949203,0.6768243,0.6300017,0.7081376,0.6266728,0.6528701,0.4797261,0.6507232,0.3821915,0.6327682,0.6958931,0.5893199,0.7574522,0.5900262,0.4875252,0.6410493,0.529907,0.6113126,0.6121828,0.6177381,0.4660977,0.7700788,0.6305422,0.6664088,0.5592075,0.6527477,0.7216618,0.427606,0.6787335,0.5688443,0.6832699,0.5556809,0.6370674,0.6439332,0.5788281,0.5760079,0.7852364,0.4778272,0.7033183,0.6710266,0.3747313,0.5806784,0.6501128,0.5852351,0.5413668,0.5569631,0.6097871,0.5505345,0.5375847,0.410396,0.6989663,0.5616063,0.6567538,0.5558126,0.6397746,0.5998889,0.593801,0.3317471,0.650227,0.5998814,0.7445462,0.5474593,0.7292991,0.3551522,0.6104796,0.5447479,0.4865942,0.6126272,0.6966556,0.583504,0.6443518,0.6009736,0.6775025,0.3738818,0.6528864,0.6718003,0.6759456,0.639854,0.5940736,0.676803,0.63019,0.7788613,0.5377123,0.4662631,0.6155376,0.6179041,0.7076015,0.8556523,0.5520029,0.6682581,0.6640169,0.6983396,0.4858646,0.5734897,0.6347367,0.7024294,0.7151104,0.6543753,0.6256253,0.6861021,0.7311125,0.5797285,0.5371276,0.4040177,0.6464722,0.6738412,0.750588,0.6085312,0.6880966,0.6126096,0.6587326,0.5596905,0.6125498,0.6271407,0.554823,0.6573683,0.6018325,0.5582137,0.5628331,0.6579272,0.6620987,0.6580004,0.6352959,0.4989375,0.6647649,0.6366427,0.5892935,0.6049037,0.6682776,0.6153282,0.6159255,0.7418653,0.5540162,0.6628368,0.574461,0.654538,0.8112125,0.6771777,0.5851337,0.5463004,0.6306273,0.6216569,0.8623974,0.6700635,0.6362767,0.8217112,0.6058712,0.6124343,0.5427306,0.5890123,0.5358258,0.5813424,0.6827745,0.5904625,0.8886494,0.590562,0.7241169,0.6367067,0.5588288,0.5549127,0.6496249,0.659851,0.6108707,0.5572641,0.5953478,0.6447153,0.6347116,0.6809926,0.7192474,0.6058438,0.7049583,0.5723785,0.6128347,0.5511007,0.604636,0.694908,0.7507128,0.4693422,0.5303344,0.6066681,0.735639,0.6851885,0.6273472,0.5926815,0.6747195,0.6379578,0.6915076,0.6625097,0.5895499,0.578997,0.5593674,0.6851673,0.5737019
G24,0.5940788,0.5552744,0.5516728,0.4819412,0.5381174,0.5941056,0.5779512,0.6637145,0.6123983,0.5107759,0.6265127,0.5317277,0.6948033,0.6638803,0.6856712,0.5837515,0.6269721,0.6649919,0.6319981,0.6132738,0.7645295,0.6346362,0.5412273,0.5887651,0.5864925,0.7801575,0.5796187,0.5833294,0.7239393,0.5902633,0.7097231,0.710067,0.4501597,0.5718256,0.5987817,0.5121576,0.6737318,0.6450737,0.65171,0.5606117,0.5995097,0.661651,0.5944154,0.6120484,0.7101383,0.6821031,0.6092979,0.4172966,0.603684,0.6348349,0.3579774,0.5526119,0.600158,0.7319542,0.6383489,0.4781994,0.6893355,0.7284269,0.6512028,0.6472849,0.5156627,0.5985921,0.6570953,0.5771011,0.7877849,0.6723437,0.7584053,0.6252863,0.8401172,0.3558073,0.625317,0.6518562,0.590536,0.4812801,0.6833776,0.6095209,0.6866598,0.6496094,0.5819397,0.6388419,0.7483001,0.6022652,0.5491545,0.645197,0.5891366,0.47154,0.6044997,0.655126,0.6272733,0.6322405,0.7514794,0.5275991,0.5513399,0.640506,0.6340642,0.6021498,0.6685574,0.4958494,0.389406,0.6723351,0.6279864,0.5756634,0.6506098,0.6605178,0.5856912,0.6337923,0.7132641,0.6347559,0.4480442,0.5620499,0.6340149,0.6265266,0.5967628,0.5053699,0.6429024,0.6738921,0.5851087,0.6559427,0.5977033,0.6359521,0.6979542,0.6312404,0.6210692,0.5447502,0.8126671,0.5837593,0.7078313,0.517824,0.6206287,0.5507865,0.5938723,0.5552735,0.6357167,0.4397493,0.5672537,0.6304165,0.6061387,0.6115462,0.7115026,0.5855304,0.6394732,0.6458987,0.6363165,0.6316461,0.4634984,0.588803,0.6161181,0.735161,0.8653293,0.6173744,0.7205697,0.6865657,0.6568951,0.5699259,0.5908328,0.4862749,0.6759804,0.6065459,0.5878579,0.6815474,0.7133628,0.5746514,0.7171285,0.6646296,0.6022144,0.5853495,0.553375,0.5815329,0.689101,0.5884573,0.7640079,0.588077,0.6364085,0.6232105,0.706044,0.6689601,0.6208924,0.6253531,0.6551979,0.6241199,0.6236806,0.6377544,0.6125069,0.7405777,0.8239493,0.56685,0.7370878,0.5839537,0.6063429,0.6188323,0.5231191,0.7918036,0.6808702,0.8055144,0.5588712,0.6309863,0.7909909,0.7026741,0.6103689,0.6823174,0.6649377,0.7017325,0.624383,0.6225298,0.7363834,0.6446976,0.66497,0.6983658,0.5088404,0.6460592
G25,0.2625371,0.2444818,0.2689859,0.2328713,0.2247283,0.2385903,0.2122272,0.228369,0.2572075,0.2195184,0.2484825,0.0960848,0.4077204,0.2486154,0.2573528,0.2264691,0.3036333,0.2142461,0.2347993,0.0989648,0.4770146,0.2375142,0.162183,0.250696,0.060826,0.2336243,0.3178301,0.2008939,0.2603487,0.0709713,0.2591048,0.1805962,0.0262474,0.2385929,0.2529674,0.0525902,0.4526157,0.2045009,0.1718767,0.242325,0.0674521,0.3507677,0.2523539,0.238673,0.2489172,0.4136649,0.2277916,0.0264802,0.2299767,0.3444661,0.0276596,0.2170709,0.3063765,0.2353512,0.2017156,0.0872552,0.3103313,0.2720498,0.4124658,0.361046,0.2614891,0.2120159,0.2726539,0.0782021,0.4103872,0.335296,0.2139828,0.2510347,0.2462384,0.0130811,0.1447948,0.1620243,0.2503549,0.0037916,0.2509759,0.4233615,0.4313526,0.2199731,0.1847325,0.0533824,0.3677161,0.2578734,0.2343923,0.2770573,0.3811024,0.0332167,0.2078755,0.315496,0.4740061,0.0755919,0.3006696,0.205432,0.0680397,0.2564987,0.2710792,0.2092482,0.3000594,0.3804685,0.0225781,0.451829,0.2854083,0.2140033,0.0643948,0.217412,0.2967434,0.2700679,0.19963,0.4985447,0.005426,0.275162,0.2885382,0.2884451,0.2200959,0.1017231,0.277934,0.2664941,0.2120621,0.2370742,0.238797,0.198766,0.2747242,0.2338239,0.3182833,0.1904685,0.3370814,0.2240427,0.3074751,0.1821455,0.2297124,0.2073967,0.2000158,0.2659526,0.316017,0.1934043,0.2735458,0.1876154,0.243906,0.219662,0.2262265,0.2525579,0.2198973,0.2006114,0.2436138,0.2837114,0.2590665,0.2303762,0.2268443,0.2191214,0.2212359,0.2380572,0.3402577,0.2811768,0.2135778,0.2017589,0.2585835,0.1983089,0.2004047,0.2394334,0.2820684,0.3126852,0.2595672,0.2577597,0.3313777,0.2667299,0.1927598,0.2563629,0.2711232,0.1971639,0.2142999,0.2251643,0.1701022,0.2610569,0.2322478,0.2925143,0.2727064,0.240384,0.2777195,0.2746553,0.3063867,0.2423365,0.209005,0.2972308,0.2076303,0.1937617,0.3476967,0.2369043,0.2855538,0.1722601,0.2538049,0.192703,0.2365977,0.1802609,0.2912492,0.2588569,0.1638115,0.242392,0.2521589,0.2884928,0.2830581,0.2621824,0.2057826,0.1820768,0.3170593,0.2131063,0.2086607,0.2432212,0.2669365,0.2653527,0.2942982,0.2304378
G26,0.7355926,0.705687,0.6739521,0.6620367,0.7453322,0.6581956,0.724038,0.5757767,0.7565531,0.6542154,0.7054835,0.3923344,0.6004916,0.426523,0.6570959,0.3771226,0.5282819,0.6355769,0.7204503,0.7379608,0.6723321,0.7001898,0.676018,0.2654231,0.5855121,0.7243172,0.5498389,0.6021117,0.391911,0.4466855,0.2813722,0.7874136,0.6479752,0.6406678,0.2497022,0.3950748,0.6199413,0.640186,0.6178576,0.7688004,0.3686764,0.276826,0.5947491,0.6889503,0.7437056,0.7246859,0.6983568,0.6344669,0.6992245,0.2990035,0.7810993,0.5499259,0.3396859,0.5818745,0.6508947,0.3599292,0.5691155,0.7397469,0.8365709,0.3083295,0.6853837,0.6603655,0.5478723,0.2747534,0.8043705,0.2449248,0.7313064,0.2784809,0.6217311,0.6819674,0.4471209,0.3621153,0.820409,0.6463384,0.7220558,0.2528716,0.7604755,0.6527175,0.5889111,0.2743343,0.6081341,0.6454681,0.5918407,0.2617203,0.2774171,0.6680624,0.6177716,0.6956919,0.6084081,0.2837459,0.7363297,0.4707042,0.2872748,0.5930023,0.6302975,0.7954966,0.2986353,0.3074261,0.7409351,0.5822755,0.5450225,0.269219,0.2600755,0.6577791,0.5309887,0.2509081,0.5748896,0.7523054,0.7380649,0.6424108,0.6671843,0.7576314,0.708555,0.6569088,0.6507624,0.6669416,0.8168251,0.6349649,0.6548729,0.6259685,0.7055067,0.541582,0.6800563,0.6676915,0.7310875,0.7601624,0.7824471,0.6661256,0.6718458,0.6592457,0.5731672,0.6266803,0.6892717,0.5769153,0.7805821,0.6159057,0.7430587,0.7137369,0.5844306,0.7145202,0.5779353,0.7553581,0.6956304,0.6353849,0.6329199,0.6146149,0.6908884,0.6863216,0.5598155,0.7128408,0.771537,0.6528121,0.7463861,0.721461,0.5847912,0.8275513,0.6710278,0.6390773,0.5823318,0.6251291,0.7107232,0.6676446,0.6878362,0.7908333,0.6971577,0.6686946,0.7423579,0.7301061,0.774509,0.831082,0.8029488,0.6644317,0.6478594,0.6620779,0.6036037,0.7857888,0.7076914,0.6364145,0.6765758,0.6983129,0.6573481,0.6464868,0.7253955,0.7103274,0.6312267,0.5955999,0.6664768,0.7546543,0.5473647,0.7764246,0.7077845,0.5882069,0.6358008,0.5051649,0.7051585,0.5729356,0.6726482,0.5956492,0.6587647,0.7375874,0.6671382,0.5755698,0.6375626,0.7530886,0.6500685,0.6644487,0.794577,0.6356337,0.6868169,0.6835758
G27,0.4984587,0.507977,0.5868231,0.4742232,0.4940822,0.5561076,0.4414926,0.4814571,0.4832489,0.4883204,0.4783529,0.4682588,0.5378608,0.5120423,0.5524021,0.3338612,0.4490043,0.5138052,0.4216147,0.3395391,0.5444565,0.4452505,0.4486815,0.5845609,0.2269647,0.5278916,0.508461,0.6076771,0.3117025,0.3237007,0.5155287,0.4745877,0.1459069,0.5151932,0.325006,0.132662,0.5302719,0.408006,0.544163,0.5439447,0.107093,0.4816946,0.5124717,0.5261946,0.5414465,0.5025797,0.5203897,0.0984393,0.5454742,0.3085084,0.0251383,0.4975787,0.3273077,0.4690016,0.4834051,0.1354297,0.5335641,0.4643957,0.4073133,0.414878,0.5195811,0.4644759,0.4857935,0.0958847,0.4397692,0.6016861,0.4299734,0.3073681,0.5145159,0.0674697,0.4295101,0.2469175,0.4251986,0.1033452,0.462942,0.4414226,0.4304091,0.6172708,0.5114417,0.1586062,0.634326,0.4822559,0.4911855,0.3308379,0.5593541,0.0651451,0.5429837,0.3911691,0.5153526,0.2012924,0.4376194,0.5285959,0.2228553,0.5839746,0.4656013,0.4615738,0.5505743,0.2663666,0.0351351,0.4631194,0.5266316,0.3771965,0.2973631,0.5244676,0.6438366,0.5000422,0.6135814,0.6165858,0.039205,0.4428141,0.4817268,0.6184944,0.4994792,0.1675642,0.5026756,0.4249767,0.4159899,0.4394492,0.4817799,0.404644,0.5109771,0.4502277,0.4916362,0.3323755,0.4568859,0.573203,0.5235564,0.4389512,0.4752559,0.4787015,0.5912904,0.5412926,0.4854165,0.5101251,0.4551584,0.5547971,0.535425,0.5420606,0.4797248,0.5377241,0.4520039,0.4726327,0.5500631,0.5642279,0.5154804,0.5997776,0.4858996,0.4564482,0.4196627,0.4847886,0.4641951,0.4093887,0.5674722,0.4409976,0.6445034,0.5457354,0.64168,0.6135454,0.4690846,0.4585856,0.5568837,0.476589,0.4666782,0.4627777,0.4957805,0.5634627,0.5266533,0.4814548,0.623042,0.4748167,0.5423609,0.5064885,0.6016828,0.5947884,0.5233676,0.5097191,0.5012887,0.4192014,0.5304157,0.5777647,0.514121,0.4698491,0.5595407,0.5660626,0.5863301,0.6306896,0.4859482,0.4856259,0.5498552,0.5285964,0.4738011,0.5156519,0.6029238,0.531384,0.4668937,0.4876117,0.534549,0.5363768,0.4649726,0.5645233,0.4655162,0.5336194,0.514842,0.592742,0.5950395,0.5150454,0.5074708,0.5188027,0.5287189,0.476043
G28,0.1431916,0.1524215,0.1315677,0.1562033,0.1327364,0.1465729,0.1511453,0.1229584,0.1638953,0.1735932,0.1501258,0.1764222,0.1911992,0.2694537,0.3233201,0.2874282,0.4043451,0.0819966,0.3749047,0.3580528,0.1256565,0.2247483,0.1025443,0.3218322,0.3121958,0.0601995,0.159407,0.2374069,0.2942051,0.2506533,0.276292,0.205735,0.251458,0.0872,0.1112063,0.1122824,0.0491705,0.1061641,0.0843527,0.2842147,0.0577941,0.3579799,0.1378744,0.2200499,0.0697227,0.0505246,0.0558742,0.3038864,0.0701074,0.1333154,0.1759633,0.0765976,0.1680206,0.1641784,0.0385247,0.0156841,0.363729,0.1541831,0.1082458,0.5437816,0.3353619,0.1756745,0.0376144,0.0485039,0.080853,0.4389977,0.3103098,0.0647229,0.3158995,0.1393625,0.0264224,0.0514921,0.2661256,0.1772274,0.2659194,0.389552,0.1492865,0.1616468,0.2060662,0.0142803,0.1459683,0.1686115,0.0260925,0.0559047,0.4975416,0.2627663,0.148811,0.3718376,0.2501679,0.0381271,0.2062946,0.0120242,0.0148134,0.0396127,0.1833809,0.6215031,0.3488655,0.0599756,0.3550266,0.1622108,0.1008324,0.3462506,0.1400653,0.3245536,0.0319471,0.2989503,0.1244686,0.1130012,0.2336625,0.2145439,0.108215,0.0739664,0.1728075,0.0902015,0.1643969,0.528742,0.0699167,0.3171323,0.1203503,0.2465417,0.1757588,0.2113197,0.2186087,0.1157039,0.0951787,0.3793851,0.1980505,0.042728,0.101982,0.2999103,0.205458,0.2362076,0.0275344,0.2870227,0.1876106,0.1776072,0.2524084,0.4442914,0.1237443,0.1194937,0.1915193,0.1686305,0.0965999,0.1726124,0.1468278,0.0404656,0.3423312,0.441766,0.4374501,0.2463964,0.1164496,0.3659112,0.1384142,0.034192,0.3076907,0.1013982,0.1707669,0.1809643,0.1356789,0.2616787,0.1214993,0.1616848,0.0800665,0.0658728,0.1750203,0.0561178,0.1011978,0.0584299,0.263265,0.2542071,0.191954,0.1636347,0.0839019,0.2618261,0.0301239,0.2310116,0.1886827,0.1456211,0.4237519,0.0372248,0.0462401,0.1659166,0.47569,0.2460249,0.1662105,0.2604365,0.3433582,0.163391,0.1501711,0.0169581,0.2114233,0.0325302,0.1634207,0.1278505,0.1611596,0.2253021,0.0999688,0.0937482,0.2180672,0.4324674,0.4079327,0.1870415,0.1844799,0.1600328,0.1973189,0.4062232,0.1393968,0.045111,0.2430419,0.1014773
G29,0.7740846,0.8050063,0.770529,0.6908644,0.6334362,0.6670391,0.6304351,0.5666884,0.685383,0.573519,0.7198279,0.766925,0.7382062,0.7351465,0.6256739,0.5668297,0.9049765,0.6832005,0.6020785,0.66763,0.7394054,0.7550892,0.6889864,0.6433491,0.6436246,0.5874358,0.6909956,0.7571789,0.6224251,0.5680465,0.7454116,0.6862012,0.6463086,0.661651,0.7625045,0.450768,0.626474,0.6385583,0.6172855,0.6155596,0.5485276,0.7139174,0.6910118,0.6520264,0.6356428,0.6342689,0.7473121,0.625427,0.6041765,0.5833016,0.7372834,0.6631453,0.7652765,0.5985273,0.7784347,0.5483305,0.6522931,0.8315171,0.7426595,0.614656,0.7068995,0.6157152,0.5849597,0.4843364,0.760671,0.5814493,0.7249392,0.7896391,0.6369202,0.5700296,0.7791221,0.6718071,0.6327704,0.6994725,0.7203819,0.7035104,0.6650414,0.5618353,0.7113541,0.7204449,0.597401,0.6296243,0.5249072,0.6141941,0.6658565,0.556735,0.6730249,0.6414188,0.6261024,0.6773874,0.7269994,0.6494577,0.6752822,0.7198779,0.6440343,0.635193,0.6386573,0.6201657,0.614034,0.6511181,0.7489657,0.6556174,0.6644499,0.7096891,0.6639459,0.6311843,0.565456,0.7122646,0.6546002,0.6286891,0.7666526,0.6526858,0.6621143,0.5683345,0.6273576,0.5670027,0.5391698,0.6243683,0.7664522,0.5551648,0.6888166,0.6747162,0.6061595,0.5868522,0.724824,0.7701846,0.6576531,0.7509799,0.683261,0.7405065,0.7044242,0.7839626,0.7753844,0.7499622,0.7528619,0.6156275,0.7297726,0.5937307,0.633897,0.5869283,0.635448,0.6099535,0.6930988,0.6548767,0.6809844,0.6665703,0.6326049,0.7594385,0.6569266,0.6748785,0.6926281,0.8355845,0.6137001,0.6010533,0.7282435,0.5616873,0.681151,0.8003129,0.6902379,0.578257,0.8052227,0.627543,0.6110662,0.7225692,0.7193565,0.6536706,0.6901018,0.6345584,0.6643435,0.616245,0.6544705,0.5573754,0.705785,0.6389455,0.6889429,0.6504643,0.7512147,0.6403321,0.7183989,0.6450045,0.7336917,0.6145503,0.6900976,0.5985648,0.5843066,0.6870177,0.6373821,0.7868299,0.6406596,0.5370008,0.7839681,0.6562946,0.6206227,0.7588942,0.6344469,0.5823107,0.6994803,0.6757369,0.7285447,0.7455352,0.5866069,0.6378891,0.7359423,0.6847647,0.6670493,0.5826686,0.7663083,0.7594206,0.712559,0.6571971
G30,0.0032945,0.0200327,0.00432,0.0049664,0.0154517,0.0055697,0.0039506,0.0090786,0.0053705,0.023926,0.0060335,0.0056718,0.0056698,0.0047895,0.0147042,0.0022403,0.0036412,0.0241467,0.0321538,0.0050455,0.0306579,0.0163574,0.0101422,0.0015436,0.0021686,0.005076,0.0068627,0.0427505,0.0062719,0.0181599,0.0100012,0.0290694,0.0004385,0.0064732,0.0156324,0.0062655,0.0113343,0.0034347,0.0094646,0.009736,0.0160079,0.0021808,0.0322337,0.0091253,0.0054219,0.0139614,0.0135894,0.0011163,0.0164495,0.0088751,0.0003549,0.008662,0.031737,0.0056596,0.0102307,0.0143981,0.011994,8.3e-05,0.0047305,0.0044131,0.0050833,0.0244556,0.0059956,0.0269008,0.0133141,0.0118164,0.0005883,0.0034941,0.0038339,0.0004597,0.019885,0.0180586,0.0069572,0.0044704,0.0014845,0.0103115,0.0136695,0.0500962,0.0231936,0.0119817,0.0016852,0.0173215,0.0081549,0.032158,0.0084361,0.001497,0.0106882,0.0075999,0.0078912,0.0305446,0.0037876,0.0107549,0.0320788,0.008394,0.0172569,0.0072671,0.0027551,0.0215812,0.0010402,0.0283428,1.78e-05,0.0548483,0.0246511,0.0138571,0.0042111,0.0203198,0.0119242,0.0047124,0.0044306,0.0336947,0.0160775,0.0013391,0.0079043,0.0069697,0.0007789,0.0438569,0.0073992,0.0204092,0.0410983,0.0354423,0.0171312,0.0043272,0.0185186,0.0175381,0.0057003,0.0337999,0.0052107,0.0047912,0.0099625,0.003935,0.0111971,0.00717,0.0181016,0.0237311,0.0346398,0.0140054,0.0127182,0.0105922,0.0265447,0.0068789,0.0092897,0.0117444,0.0080001,0.0205791,0.0051753,0.0073489,0.0129689,0.0270733,0.013991,0.0173748,0.0080631,0.0358678,0.0044672,0.0115376,0.0021153,0.0080288,0.0052469,0.0135624,0.0140395,0.0048663,0.0039352,0.0240268,0.0217566,0.0066024,0.0213964,0.0061401,0.0063928,0.0069411,0.0119268,0.0069393,0.0311095,0.0186353,0.0200877,0.009931,0.0039894,0.008752,0.0117107,0.0120007,0.005042,0.002552,0.0042525,0.0014606,0.0110962,0.0091346,0.0050558,0.0103824,0.0093345,0.0066871,0.0121013,0.0078148,0.0107017,0.0082404,0.0074761,0.0160903,0.0070719,0.0061979,0.0034065,0.0135766,0.0193537,0.0104112,0.0075599,0.016606,0.0023255,0.0065342,0.0190491,0.0184206,0.0080928,0.0016657,0.0048982,0.0050455
