	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
TS_2_3	0.3754656	0.0049873	0.6712253	0.6170142	0.2522842	0.7402569	0.198956	0.3386422	0.2302003	0.0516651	0.685625	0.0076099	0.5503362	0.6517882	0.0023938	0.7021481	0.5025151	0.7095763	0.0377787	0.7490465	0.0454948	0.0242459	0.6176959	0.1128449	0.0006023	0.0286574	0.6645198	0.0315495	0.1632518	0.4000591	0.6584929	0.7617281	0.0681071	0.0	0.4660579	0.1661767	0.0008071	0.3141915	0.659062	0.025716	0.65015	0.4647731	0.0791247	0.0936339	0.0346274	0.7532542	0.7319161	0.0001202	0.0745632	0.4074466
TS_2_4	0.351767	0.0013788	0.6142248	0.6298437	0.3501487	0.6679973	0.1826569	0.1495816	0.1874527	0.0969698	0.7109788	0.0096919	0.5429743	0.6470849	0.0072221	0.6039349	0.4466714	0.5601604	0.0312534	0.6463208	0.1140406	0.0288234	0.5819305	0.1331759	0.0011445	0.0340525	0.7300413	0.0456648	0.2010996	0.5470292	0.6092779	0.7034935	0.0666014	7e-05	0.3781243	0.3220375	0.0057652	0.4872645	0.808065	0.0289263	0.639407	0.3893575	0.2207663	0.0737626	0.0243175	0.7215853	0.6108733	0.0005088	0.1436211	0.4316048
TS_2_5	0.4437628	0.0029966	0.7718917	0.6191039	0.2545209	0.8299406	0.2493925	0.1020132	0.1936851	0.036755	0.7151154	0.0116185	0.5670116	0.6111077	0.007507	0.5470176	0.4430667	0.7065285	0.0365611	0.8015618	0.3936546	0.0925719	0.523492	0.1572568	0.023011	0.0923475	0.6626778	0.0430252	0.1736741	0.3075662	0.704092	0.7175924	0.0946822	0.0021753	0.4088496	0.3056295	7.11e-05	0.4742514	0.7704163	0.0071051	0.6048145	0.4437225	0.2297928	0.0570175	0.0281223	0.6502988	0.6116593	0.0003338	0.1656146	0.4434884
TS_2_6	0.3769536	0.0007371	0.8587346	0.5735644	0.2504891	0.6764274	0.2347697	0.093313	0.1807853	0.0540645	0.6017459	0.0042744	0.5186584	0.6966253	0.0045357	0.7178786	0.3887543	0.7268345	0.0588561	0.7225991	0.4306129	0.1002856	0.3838102	0.1582681	0.0127728	0.1601055	0.7047239	0.0701619	0.1553743	0.2794356	0.6651974	0.6606153	0.1563773	0.0069567	0.3998104	0.2924096	0.000421	0.4804149	0.8502752	0.0155138	0.5107451	0.415405	0.1477716	0.0512622	0.0394149	0.6945097	0.6680575	0.0041326	0.2132516	0.5038511
TS_2_7	0.4422175	0.0043051	0.7151335	0.5503604	0.2484156	0.6562882	0.2194289	0.1217566	0.1789092	0.0379079	0.7480686	0.0074373	0.5936288	0.7232651	0.0163062	0.5521185	0.4334341	0.641301	0.0380852	0.7863742	0.590134	0.1640364	0.2388778	0.1286728	0.0442394	0.1093084	0.6101943	0.0883531	0.2135393	0.191502	0.6138495	0.7654118	0.1017407	0.0021574	0.3034597	0.2300006	0.000156	0.5139382	0.6176807	0.0049196	0.5524855	0.4188978	0.179268	0.0296278	0.0297254	0.7944755	0.672293	0.0011811	0.2113246	0.3787703
TS_2_8	0.4477259	0.0095586	0.8499837	0.6852334	0.3494184	0.598461	0.2174677	0.0913652	0.1265556	0.0490691	0.5813506	0.0030597	0.6776544	0.5732638	0.015134	0.5042072	0.3802185	0.5732006	0.0457002	0.6764874	0.7532016	0.1383926	0.2482993	0.0833868	0.0327698	0.0847864	0.5214458	0.1268874	0.1702614	0.1888015	0.5325781	0.6444086	0.1251483	0.0121501	0.4536411	0.2245805	0.0003171	0.5359694	0.626735	0.0083711	0.5430793	0.3566563	0.110516	0.0465126	0.0120599	0.8864649	0.6483921	0.0022323	0.2425143	0.4542329
TS_2_9	0.4660532	0.0089876	0.8488414	0.5928435	0.295702	0.7353819	0.2159126	0.0921861	0.1734681	0.0663452	0.7813329	0.0327419	0.6692553	0.6338258	0.0232897	0.6294645	0.4941755	0.5701238	0.0722045	0.6636463	0.6719908	0.2086539	0.1865103	0.1328818	0.0179851	0.0884507	0.5857726	0.1519981	0.1800541	0.1890507	0.5456957	0.6523576	0.0958386	0.021075	0.5398947	0.3243863	1.77e-05	0.4650251	0.689869	0.0151421	0.6324857	0.429185	0.1688941	0.0867948	0.010229	0.698112	0.7371921	0.0039056	0.2428199	0.5699286
TS_2_10	0.2851299	0.0009127	0.8558578	0.5067228	0.2600213	0.6993257	0.2450406	0.0869757	0.1615733	0.0540374	0.9008972	0.0107796	0.6758454	0.6380501	0.0186612	0.5488996	0.5163346	0.6580869	0.0537037	0.4772146	0.9063846	0.1965152	0.1587536	0.0949729	0.0900164	0.1388551	0.6240579	0.1329392	0.1758427	0.1879489	0.5609756	0.5958814	0.1869505	0.0843105	0.5774998	0.322579	5.29e-05	0.5797024	0.6306444	0.0306672	0.6335806	0.2829671	0.1581996	0.0958114	0.0278249	0.7619185	0.7293736	0.0035802	0.2103535	0.4775353
TS_2_11	0.4388256	0.0054674	0.760543	0.6743629	0.2633167	0.8223969	0.2693792	0.1732987	0.2007097	0.0925615	0.733002	0.1093159	0.6680357	0.6584991	0.2825124	0.7748535	0.7269269	0.5031602	0.0487407	0.630725	0.7575411	0.2062494	0.1780008	0.1421878	0.3289336	0.5570233	0.6578846	0.2996191	0.576717	0.1640989	0.5075463	0.754379	0.1191615	0.026973	0.5054606	0.211303	0.0001669	0.3458965	0.7037954	0.4585053	0.5316111	0.4597812	0.1269531	0.0400065	0.0342037	0.6988517	0.6669735	0.0011194	0.2307559	0.7044044
TS_2_12	0.4759709	0.0007362	0.7387275	0.7326876	0.2398555	0.7472171	0.2814353	0.5034008	0.1396526	0.0761846	0.8940996	0.1381381	0.5101742	0.5686402	0.1585149	0.5288835	0.6829209	0.5320257	0.0749612	0.779994	0.4407173	0.0862696	0.4494381	0.1926283	0.2205915	0.3674277	0.5883344	0.5368081	0.6622575	0.1945714	0.4710129	0.7094936	0.0960964	0.0145888	0.449119	0.2070663	0.0009742	0.1948461	0.6845161	0.7531001	0.7140753	0.5120576	0.0511308	0.031481	0.0301604	0.6868138	0.6561627	0.0001487	0.1883258	0.5947152
TS_2_13	0.4201368	0.0053217	0.6166912	0.6607546	0.2651128	0.6532679	0.2126955	0.5668772	0.2814863	0.0570699	0.6136674	0.1439456	0.4694769	0.8135323	0.0823866	0.6964218	0.8357979	0.5034487	0.0259275	0.7185253	0.1407135	0.0665872	0.6626562	0.2339103	0.1501988	0.2123951	0.6542959	0.6939441	0.7138175	0.2676172	0.6007215	0.6258794	0.0434889	0.0039768	0.3818241	0.0690825	2.7e-05	0.0783009	0.7835041	0.7080687	0.6259364	0.4251602	0.031641	0.0262674	0.0525898	0.6017642	0.5362593	0.0041775	0.1337607	0.6543786
TS_2_14	0.4076492	0.0019061	0.6403945	0.8654417	0.3184845	0.7733847	0.3067294	0.6379595	0.1068157	0.0542405	0.6988085	0.1945609	0.5870331	0.6960748	0.0685875	0.8052348	0.7388196	0.5868135	0.0509833	0.8809808	0.0476407	0.0218747	0.6916385	0.2229521	0.2176171	0.1272368	0.6200118	0.5762691	0.7605632	0.4486646	0.713952	0.5820864	0.0433416	0.0003882	0.5075585	0.0582694	0.0001039	0.0745827	0.6849595	0.6840856	0.7164841	0.3689509	0.0189691	0.0213919	0.0500785	0.7636883	0.7986789	0.0072456	0.2316565	0.7247338
TS_2_15	0.3509519	0.0005148	0.7654706	0.6520453	0.2479709	0.7371917	0.2472582	0.6702903	0.1558145	0.0643718	0.6745872	0.1702453	0.5857258	0.7121394	0.078043	0.5623221	0.6209346	0.6950604	0.0354239	0.6617755	0.0182577	0.0261765	0.6642839	0.2997571	0.1284072	0.163587	0.5005971	0.3667233	0.6826875	0.3825371	0.808907	0.746533	0.0360946	0.0	0.5445454	0.0553189	0.0001165	0.0340044	0.8337515	0.6826587	0.7848081	0.4527877	0.0237381	0.0175003	0.0431694	0.6515084	0.8181413	0.0013248	0.1352588	0.6580426
TS_2_16	0.4822533	0.0005614	0.6877944	0.6855706	0.203986	0.807144	0.2589462	0.6563702	0.141089	0.0480462	0.7326763	0.1381403	0.5064572	0.6284905	0.0404921	0.5819266	0.7416399	0.7131467	0.0610232	0.7529051	0.0446894	0.0129955	0.6794541	0.2144945	0.141563	0.115955	0.579967	0.2475083	0.6880947	0.3845211	0.5172096	0.5997205	0.0433364	5.6e-05	0.360732	0.0290767	2.3e-06	0.0815422	0.6101806	0.6710968	0.619878	0.3552611	0.0267358	0.0282303	0.0235218	0.9487593	0.5732666	0.0020111	0.115368	0.7837461
TS_2_17	0.3271127	0.0012739	0.5524234	0.5890308	0.2394338	0.8194848	0.1987939	0.6931974	0.1617071	0.0293986	0.6620852	0.1171927	0.6466236	0.6902241	0.0422026	0.5830263	0.7350311	0.5901728	0.0822593	0.8026473	0.042595	0.0097033	0.6396187	0.2449196	0.1750979	0.077037	0.6544533	0.1767663	0.7220876	0.3056266	0.7301413	0.5791139	0.0481994	0.0017982	0.3442322	0.0469297	0.0006182	0.0828685	0.6600105	0.6871402	0.7445126	0.4603743	0.0172608	0.0061603	0.0276485	0.7274407	0.6936393	0.0017355	0.0968074	0.8025176
TS_2_18	0.404321	0.0039501	0.6428069	0.7022489	0.2135973	0.6589609	0.1896905	0.5622191	0.1907249	0.0816783	0.6296391	0.1105694	0.6382439	0.5976058	0.1086293	0.4998245	0.8248498	0.6586431	0.030001	0.7054212	0.0092332	0.0222879	0.692017	0.2138632	0.1896737	0.1420928	0.6145659	0.161	0.6696762	0.4989469	0.7544802	0.6711654	0.021083	0.0003556	0.4270358	0.0083775	2.93e-05	0.0554699	0.7726932	0.6459196	0.8792686	0.4147076	0.0154851	0.0195425	0.0217194	0.6728774	0.857899	0.0044215	0.1604713	0.7366506
TS_2_19	0.45128	0.0057302	0.8617622	0.7060723	0.2809287	0.8357351	0.224031	0.5547935	0.2306827	0.0638522	0.702523	0.1504995	0.6138029	0.6275368	0.0476697	0.5808475	0.6617147	0.7256943	0.0520974	0.7583381	0.0162537	0.003637	0.6802734	0.2489796	0.1744225	0.0783995	0.5704689	0.126538	0.5943594	0.4005285	0.6635118	0.659346	0.0101756	0.0011875	0.406458	0.0140271	0.0003645	0.0560811	0.662283	0.5887272	0.7424786	0.4042012	0.0293975	0.0161497	0.0544098	0.7303477	0.7051177	0.0033007	0.1102315	0.7080191
TS_2_20	0.446488	0.0430082	0.8176518	0.6959224	0.2901554	0.714906	0.304695	0.6004114	0.1841531	0.0388285	0.8079058	0.1172589	0.6756206	0.6337687	0.057392	0.5594525	0.7160675	0.6575958	0.0393672	0.6737693	0.0362418	0.0378334	0.6799295	0.1670408	0.1603425	0.1044795	0.5145174	0.0917948	0.5772198	0.493715	0.7118422	0.7510309	0.0310937	0.0002195	0.4310481	0.0320691	3.3e-06	0.0843813	0.6957381	0.6983881	0.8611888	0.4480859	0.0178507	0.0275528	0.0442808	0.6926356	0.6850045	0.0019514	0.1265914	0.77096
TS_3_0	0.3648744	0.014778	0.6053384	0.6683464	0.259637	0.7200301	0.1846836	0.5891881	0.1792863	0.0262475	0.8177618	0.1682533	0.6570319	0.6848733	0.0379735	0.7322862	0.7980184	0.5480087	0.0550499	0.743051	0.0238033	0.0231333	0.6644895	0.2611509	0.1581716	0.167424	0.5378626	0.2159619	0.8137514	0.3938725	0.6949231	0.7384501	0.0192615	0.0005112	0.477338	0.0558937	8e-07	0.0505076	0.5868556	0.6451543	0.8333469	0.4539117	0.0348746	0.0226928	0.0500899	0.661699	0.5997844	0.0110266	0.1245386	0.8117216
TS_3_1	0.3686223	0.0012517	0.7357621	0.3050143	0.2655314	0.4510716	0.156491	0.4803357	0.1535555	0.0602926	0.5470274	0.1513937	0.7037922	0.7558922	0.0544119	0.6376585	0.7531943	0.5914451	0.0109178	0.7383758	0.0035389	0.0269043	0.5775544	0.2797764	0.1348273	0.0736404	0.6131368	0.1912222	0.6478736	0.4306122	0.4389587	0.6994017	0.0365767	7.92e-05	0.4146333	0.017196	0.0	0.0724701	0.7644094	0.6963623	0.8056706	0.4028154	0.0210433	0.0150771	0.0320383	0.6292922	0.6632244	0.0008993	0.0996732	0.7479082
TS_3_2	0.3580857	0.0010812	0.6344137	0.2167037	0.2558514	0.4272461	0.0934589	0.6302459	0.1324562	0.1052878	0.7365122	0.2068511	0.6771365	0.6304641	0.0761512	0.5644116	0.7773322	0.7440834	0.0036844	0.7605174	0.0057323	0.0078117	0.6192035	0.2537896	0.1178429	0.0666538	0.6000672	0.109718	0.7952548	0.4214624	0.3447127	0.5101823	0.0180891	0.0011916	0.5141605	0.0312125	0.0001225	0.0582236	0.6992411	0.7097569	0.6146048	0.3668831	0.0206425	0.0195411	0.0180355	0.8596693	0.6845762	0.0011466	0.1167522	0.688525
TS_3_3	0.5166762	0.0257359	0.8390884	0.1763939	0.258537	0.3906887	0.0951846	0.5782934	0.1333052	0.2033962	0.6622327	0.3288063	0.6544555	0.3515219	0.0838786	0.4518597	0.7233491	0.7251308	0.0290473	0.6979589	0.004845	0.0268051	0.6695274	0.1924113	0.2137343	0.0933171	0.656745	0.0752635	0.5371624	0.3143208	0.3294292	0.7652093	0.0100241	1.17e-05	0.4161805	0.0234366	0.0	0.0707607	0.5185754	0.7706364	0.7361779	0.4053823	0.0183371	0.0123765	0.0338077	0.682634	0.6231548	3.5e-06	0.1161109	0.6978601
TS_3_4	0.4448924	0.0045244	0.8374457	0.0876803	0.3465166	0.3446192	0.0905649	0.6269642	0.1797218	0.2594478	0.5919405	0.3343667	0.6769117	0.2418389	0.0834153	0.3865348	0.7452022	0.7415945	0.0410647	0.6936902	0.0066604	0.0256855	0.6831194	0.2458859	0.1120605	0.0962631	0.5356609	0.1036412	0.5651463	0.2941847	0.3329258	0.6761127	0.0203509	0.0002732	0.412128	0.0379139	0.0068233	0.0921035	0.6913081	0.766342	0.7303402	0.4599459	0.0319674	0.0042046	0.0180199	0.6543032	0.7742928	0.0012281	0.1430648	0.6465597
TS_3_5	0.4645658	0.0186167	0.6751182	0.1180631	0.4615773	0.4045197	0.0844178	0.5675241	0.1471831	0.4733698	0.6812066	0.470371	0.7221341	0.1273061	0.0601757	0.2771688	0.6726576	0.7391279	0.0989524	0.7159914	0.001806	0.022919	0.6628518	0.247623	0.1392616	0.0931886	0.5522525	0.0863086	0.6686157	0.3855877	0.3307041	0.6446264	0.04192	0.000235	0.4779566	0.0304652	0.0003048	0.0963366	0.6107163	0.8747694	0.7314269	0.4652613	0.030105	0.0145951	0.0365257	0.7022738	0.6642028	0.0003997	0.1105002	0.8521615
TS_3_6	0.4419196	0.0881468	0.5298422	0.2373429	0.4548923	0.4606266	0.0431709	0.5768413	0.2079661	0.4757547	0.678368	0.5752251	0.6784211	0.0852496	0.0775224	0.2333429	0.6579125	0.6031635	0.1888467	0.5794092	0.013005	0.0090855	0.741081	0.2853973	0.1293925	0.0601307	0.6177589	0.0762665	0.6624774	0.3987633	0.2737181	0.6527447	0.0232335	0.0	0.4098115	0.0120835	0.0032315	0.0810372	0.6460243	0.6549336	0.6769483	0.4788403	0.0240298	0.0137033	0.0342552	0.6983833	0.6761518	0.000374	0.1405106	0.6502745
TS_3_7	0.1983071	0.1291148	0.2512769	0.1381789	0.5032103	0.3780836	0.0271375	0.6932881	0.1505165	0.6989801	0.5759133	0.4640344	0.5223871	0.1142687	0.0680396	0.1134082	0.6687703	0.5970187	0.1594844	0.6552118	0.0005301	0.0265741	0.6940665	0.3474947	0.1466546	0.0357173	0.5180536	0.0903104	0.6389396	0.2912629	0.3655671	0.7282807	0.0239087	0.0	0.4590533	0.0196943	4.45e-05	0.0881955	0.7457978	0.6785543	0.6893591	0.4115676	0.0248613	0.0285188	0.0370225	0.7988498	0.6405327	2e-07	0.1269605	0.6935988
TS_3_8	0.1344257	0.06966	0.1076938	0.1640126	0.5200411	0.3540879	0.0805326	0.6494263	0.1805756	0.4014423	0.7480075	0.5528007	0.6431593	0.1328713	0.0693421	0.1840544	0.6862682	0.5936351	0.1351567	0.5991534	0.0018907	0.0269296	0.8705248	0.2277603	0.1131189	0.0548537	0.5672005	0.0433616	0.7790932	0.3737953	0.2498077	0.6067671	0.0418909	0.00025	0.3790234	0.033196	2.8e-06	0.0821687	0.7127901	0.668331	0.8369043	0.4178925	0.0244203	0.0218282	0.0105316	0.7219355	0.6268296	3.61e-05	0.1015673	0.7219827
TS_3_9	0.0891931	0.0782161	0.0953927	0.0853553	0.4425749	0.4164629	0.044333	0.6701397	0.1879419	0.5352645	0.595658	0.5217363	0.6063796	0.0785104	0.0671894	0.1958728	0.7738178	0.5575393	0.1724161	0.6682203	0.0274443	0.0227195	0.658537	0.1792957	0.1470548	0.0579969	0.6872349	0.0798324	0.6454731	0.377357	0.2964392	0.775629	0.0256149	0.0003266	0.388233	0.0239504	0.0	0.092487	0.7286041	0.7522648	0.6160969	0.3048332	0.0113808	0.0076897	0.0516938	0.6811609	0.5701721	0.0005017	0.1667727	0.7764949
TS_3_10	0.1138071	0.1429978	0.0285797	0.0983967	0.5772147	0.4013395	0.0616085	0.7034941	0.1853622	0.6107556	0.6024437	0.5823497	0.6559652	0.0682637	0.1193953	0.1074597	0.725862	0.6941566	0.1660185	0.9056312	0.0075486	0.0158059	0.7296914	0.229183	0.0934279	0.0692122	0.7065593	0.0652483	0.7794038	0.3707539	0.2899483	0.7443346	0.0126098	4.86e-05	0.4207781	0.0585495	0.0	0.0902902	0.6917959	0.5952455	0.7114811	0.4184144	0.0123699	0.043097	0.0212661	0.6931666	0.6738914	7e-06	0.1144482	0.7258606
TS_3_11	0.0846185	0.0819371	0.0479942	0.4704285	0.2588049	0.672126	0.0698337	0.6073973	0.208516	0.4464115	0.4639586	0.5243794	0.6296766	0.2713843	0.0440759	0.1989569	0.7783658	0.5570128	0.232091	0.6940955	0.0221535	0.0097066	0.731072	0.2642449	0.0989972	0.0810377	0.5911524	0.0440838	0.6608868	0.441352	0.6349023	0.6503133	0.0283027	0.0006848	0.447447	0.0298493	0.0001479	0.0766382	0.7122663	0.7942844	0.7374331	0.4077958	0.051918	0.0125911	0.0242311	0.6429519	0.7553917	0.0061654	0.1075025	0.7734005
TS_3_12	0.0625364	0.0258231	0.0414338	0.6335796	0.2935468	0.6497694	0.224963	0.6889085	0.1695523	0.2142111	0.7672709	0.2778808	0.763349	0.4687525	0.0463706	0.3451294	0.8295931	0.5918084	0.0884688	0.7521872	0.025527	0.0150332	0.8025626	0.1985343	0.1195455	0.0668503	0.6443662	0.0554096	0.8207182	0.4864935	0.7076687	0.7992787	0.0248486	0.0003934	0.400324	0.0313055	4.28e-05	0.0592266	0.5784576	0.7195709	0.6388981	0.3936692	0.0334841	0.0218471	0.0320642	0.7277233	0.752302	0.0002642	0.0908706	0.8000244
TS_3_13	0.1060227	0.0260745	0.2429548	0.6809768	0.2720617	0.7466365	0.2597854	0.6837211	0.1397064	0.1213942	0.7065851	0.205219	0.707754	0.73873	0.0470053	0.4967164	0.6848353	0.6555627	0.0903896	0.6919184	0.0447324	0.0213552	0.5872007	0.1909688	0.1478025	0.1281194	0.6730484	0.0734632	0.8020813	0.5591731	0.7660776	0.7793028	0.0174769	0.0029177	0.5493672	0.0363751	0.0013673	0.0345214	0.8684613	0.6179695	0.6516872	0.4536576	0.0453975	0.009776	0.0280917	0.8405847	0.714938	0.0002218	0.0706286	0.7156859
TS_3_14	0.3081959	0.0023146	0.4755949	0.7213852	0.2981938	0.6814934	0.2695101	0.7828058	0.2034975	0.1028889	0.7452745	0.1485684	0.6081098	0.7040894	0.0617467	0.5606175	0.8527715	0.7218842	0.0629781	0.7747744	0.0103291	0.0058739	0.6994769	0.2513463	0.1094209	0.0757281	0.5677891	0.0925906	0.74514	0.4963465	0.6761313	0.6591357	0.0288756	0.0023262	0.4531437	0.0309322	1.8e-06	0.0570166	0.7877063	0.5594079	0.8571208	0.4820108	0.0172542	0.0373499	0.0241204	0.6320365	0.7068033	0.0015706	0.0815402	0.7154817
TS_3_15	0.3397016	0.0023096	0.602939	0.7348141	0.3179603	0.7676456	0.282536	0.7167566	0.1879336	0.0339172	0.6564349	0.1359699	0.6214999	0.646191	0.0894012	0.5814226	0.8335962	0.6003437	0.0611802	0.8514326	0.0220191	0.0197108	0.6660118	0.2352341	0.1262899	0.1005809	0.5724341	0.1237704	0.6875081	0.4513181	0.7449318	0.8284616	0.031183	0.0018416	0.3728561	0.0213189	0.000233	0.0868036	0.6321645	0.7265519	0.6535601	0.3927254	0.0362113	0.0155024	0.0357681	0.6924714	0.6974081	0.0006116	0.1269305	0.7143086
TS_3_16	0.4103507	0.0050738	0.589862	0.6308217	0.2583836	0.6545615	0.2461573	0.5588254	0.1793935	0.029346	0.8030221	0.090917	0.6018208	0.5891598	0.0524326	0.5669359	0.6507914	0.6287125	0.0474937	0.7946117	0.02859	0.0086999	0.5090987	0.2559129	0.1326915	0.0834375	0.6190398	0.0742723	0.6920059	0.4703922	0.6304174	0.6790392	0.0353648	0.0	0.4409398	0.0223359	1.2e-06	0.0841644	0.7068449	0.6637679	0.7695354	0.4483053	0.0279785	0.0415067	0.025009	0.6599051	0.682932	0.0092681	0.0927076	0.7166631
TS_3_17	0.427909	0.0025963	0.6387327	0.7708903	0.2828207	0.8741806	0.2169156	0.6570568	0.2426072	0.0447516	0.744727	0.0884154	0.561498	0.6154042	0.0599097	0.6105271	0.7000166	0.6622061	0.0407358	0.7647936	0.0202594	0.020408	0.6936971	0.2429749	0.0974347	0.1039938	0.5880792	0.1290682	0.669932	0.4279521	0.7090121	0.6308913	0.0370225	0.0001061	0.3626278	0.0411153	0.0	0.099567	0.6996728	0.6633552	0.6279198	0.4769937	0.0542624	0.0585973	0.0195291	0.735311	0.6551723	0.0013692	0.1128609	0.6277306
TS_3_18	0.4894225	0.0037887	0.6926411	0.6705799	0.2407949	0.7868194	0.283539	0.623019	0.1825349	0.0324253	0.7592876	0.1167726	0.5609581	0.6513678	0.0593879	0.6681608	0.6444427	0.6546518	0.048158	0.5508572	0.0299715	0.0401369	0.5897547	0.2964535	0.1069323	0.0944802	0.5788988	0.179139	0.7987498	0.3903463	0.7305186	0.6753699	0.0434703	0.0001556	0.4258103	0.0481621	0.0001102	0.0287692	0.7292992	0.5614391	0.746712	0.4472225	0.0268848	0.0252433	0.030023	0.6219317	0.6508816	0.0100206	0.1164859	0.6746201
TS_3_19	0.3776805	0.0124307	0.5950462	0.7477209	0.2493208	0.6815746	0.1719221	0.6587343	0.2037081	0.0207346	0.6939416	0.1446704	0.4713815	0.5863362	0.0739604	0.7369339	0.6646852	0.5490551	0.047677	0.5672221	0.0398733	0.0025383	0.6761881	0.345896	0.1802782	0.0968052	0.6192306	0.1448993	0.6783222	0.4684536	0.6872925	0.7981831	0.0253846	2.26e-05	0.4402989	0.0235397	9.94e-05	0.0544077	0.7661452	0.5546085	0.7052185	0.347738	0.0631359	0.0146265	0.0332906	0.6674566	0.6475117	0.0029662	0.1019923	0.6558287
TS_3_20	0.3551925	0.0326114	0.6809398	0.7258538	0.2690465	0.6841463	0.2138616	0.617357	0.1721213	0.0247234	0.7688646	0.1233737	0.6731974	0.6565785	0.0358441	0.5096107	0.81633	0.5583774	0.068816	0.7977695	0.0335206	0.0159242	0.6934418	0.2751035	0.1025365	0.0425181	0.6542616	0.0747375	0.6488689	0.3934125	0.8041022	0.5937008	0.0343597	3.21e-05	0.3735977	0.0201123	0.0008419	0.0606846	0.8157103	0.6371877	0.5397004	0.5179124	0.0286021	0.0323404	0.0143571	0.6785677	0.7508458	0.0026361	0.1364585	0.7143208
TS_4_0	0.3702913	0.0118887	0.7327107	0.7642467	0.2928239	0.7346357	0.2836599	0.605288	0.2106754	0.0320336	0.7195119	0.1634405	0.6579844	0.7420414	0.0859192	0.7744144	0.68914	0.6281094	0.0540591	0.5936779	0.0167966	0.0164963	0.6064972	0.1920335	0.1177867	0.1390572	0.5635724	0.2011892	0.7215677	0.5956257	0.7303385	0.7024049	0.0350721	0.0001444	0.3918802	0.0440995	1e-07	0.1117708	0.6025534	0.7240257	0.8793768	0.4191684	0.0246366	0.0360142	0.0288337	0.7307037	0.7205362	0.0102236	0.0880471	0.8401297
TS_4_1	0.4175428	0.0034623	0.4817911	0.7204166	0.3094371	0.7623597	0.2359416	0.5711543	0.1403687	0.0288604	0.7305385	0.1092045	0.705932	0.5721619	0.0757102	0.7093277	0.6411249	0.6365779	0.0338562	0.6815092	0.0052759	0.0292645	0.5554162	0.2171399	0.1320613	0.1161741	0.6802519	0.1445424	0.6668712	0.3383655	0.5417872	0.6747294	0.2858274	1.3e-06	0.4099666	0.0442093	0.0001086	0.0456561	0.6842037	0.5596506	0.7712058	0.4441832	0.026585	0.0387109	0.0588478	0.6928955	0.8367793	0.0005899	0.0913381	0.2943686
TS_4_2	0.4007755	0.0008705	0.2267913	0.8081407	0.2694691	0.6666039	0.206297	0.5028203	0.1679242	0.0341139	0.6329899	0.0728764	0.6900159	0.6355243	0.0691467	0.6194321	0.7393871	0.7040545	0.0156295	0.7335502	0.0142009	0.0504321	0.5911113	0.187453	0.1774057	0.0794939	0.5878527	0.1956739	0.797398	0.3619217	0.6767531	0.6043871	0.3554354	1.16e-05	0.5470183	0.0278369	0.0038736	0.0802057	0.6440461	0.6086726	0.7257209	0.6477104	0.0341933	0.03443	0.0360774	0.6018885	0.7785908	0.0017973	0.0957292	0.199545
TS_4_3	0.4358217	0.0006993	0.2273143	0.736963	0.2079163	0.7227526	0.2489365	0.6632164	0.1600205	0.0407691	0.6740308	0.1869471	0.6558613	0.6713505	0.0735442	0.8169319	0.6766303	0.5342797	0.0081933	0.8020827	0.0110029	0.0122733	0.6445099	0.2099011	0.1498432	0.1108114	0.7703624	0.1506175	0.7678253	0.45566	0.6351841	0.6030478	0.3906412	0.000138	0.3818467	0.0265697	0.0001167	0.1119829	0.7497776	0.7344759	0.5741392	0.6313499	0.0252583	0.0186799	0.0354254	0.6830237	0.6748892	0.0027479	0.1216821	0.2101917
TS_4_4	0.4810664	0.001342	0.1482686	0.717287	0.2583328	0.5771978	0.2137326	0.5069944	0.1673123	0.035379	0.7059195	0.1506229	0.6136788	0.6836913	0.0521445	0.6889991	0.8063282	0.6917696	0.0029979	0.7964289	0.005828	0.0258034	0.6703784	0.226165	0.1110465	0.0987873	0.7160918	0.1450307	0.8291884	0.3359808	0.6712148	0.7243671	0.3604423	0.0015038	0.3478724	0.0391014	2.1e-06	0.081064	0.7110982	0.7997088	0.6232677	0.7602812	0.0733708	0.0433138	0.0630942	0.6891935	0.8266156	0.0118229	0.1813573	0.2128374
TS_4_5	0.4580501	6.3e-06	0.1654629	0.6753754	0.23028	0.7629631	0.2363791	0.6013258	0.1586434	0.0543002	0.6846783	0.1311693	0.5749194	0.5955052	0.1081988	0.7570506	0.8632541	0.6563208	0.0038912	0.6787256	0.0059549	0.0258759	0.6226396	0.3264887	0.1179355	0.1631844	0.5978845	0.19573	0.6035405	0.3501114	0.5980622	0.7876064	0.4304775	4.69e-05	0.5044395	0.0173043	2.34e-05	0.0431938	0.6755045	0.7710704	0.748325	0.6294135	0.0240582	0.0205991	0.0448682	0.5968184	0.6571084	0.0140361	0.1295473	0.1938729
